"행정구역별(시군구)","성별","연령별","시점",일반가구원,가구주,가구주의 배우자,자녀,자녀의 배우자,가구주의 부모,배우자의 부모,손자녀 그 배우자,친손자녀·그 배우자,외손자녀·그 배우자,증손자녀·그 배우자,조부모,형제자매·그 배우자,형제자매의 자녀·그 배우자,부모의 형제자매·그 배우자,기타 친·인척,기타 동거인
"전국","계","65세이상","2020",7858775,4732364,1863309,12028,2384,878040,161105,X,-,-,X,41183,43596,329,8075,8402,107960
"전국","계","65세이상","2021",8277493,5015574,1983177,13521,2557,876512,156881,X,-,-,X,44012,48225,375,9227,8796,118636
"전국","계","65세이상","2022",8742173,5331539,2113777,16003,2852,878814,154381,X,-,-,X,43348,54529,441,10516,9235,126738
"전국","계","65세이상","2023",9188923,5655260,2225454,18290,3207,876693,151413,X,-,-,X,39358,63276,514,11795,9838,133823
"전국","계","65세이상","2024",9666500,5993409,2368701,20644,3549,866144,144149,X,-,-,X,35636,70214,610,12668,10110,140666
"전국","남자","합계","2015",23804846,13460593,871684,8021721,47789,296743,59694,-,236251,85357,1772,4612,414572,81152,10885,26231,185790
"전국","남자","합계","2016",23918710,13565064,926001,7972812,50946,296499,59772,-,221979,86135,1662,4487,406375,80079,11054,25622,210223
"전국","남자","합계","2017",23973333,13658562,1009452,7833519,50237,297943,58995,-,209244,87130,1646,4764,405859,80894,11415,27757,235916
"전국","남자","합계","2018",24010719,13741756,1088719,7699950,48214,304535,56366,-,193456,86142,1444,5018,405507,81817,12049,27818,257928
"전국","남자","합계","2019",24029501,13866960,1152844,7528479,45796,304586,54064,-,180851,85682,1357,5056,400378,81844,12297,28945,280362
"전국","남자","합계","2020",24202134,14081262,1244364,7428224,38758,305406,48890,240865,-,-,1106,5389,390206,80500,12341,28478,296345
"전국","남자","합계","2021",24270009,14248638,1357493,7198174,36219,318027,46731,221585,-,-,1041,6035,387896,82392,13354,29590,322834
"전국","남자","합계","2022",24158441,14346208,1410774,6931630,36606,318535,44631,210787,-,-,985,5925,384108,82509,13761,30034,341948
"전국","남자","합계","2023",24160916,14448922,1425834,6806398,38227,316293,43444,207951,-,-,981,5333,383833,81801,14344,30112,357443
"전국","남자","합계","2024",24114897,14505278,1458005,6676788,38148,308169,40709,202189,-,-,1005,4891,380314,79831,14369,29777,375424
"전국","남자","15세미만","2015",3556446,41,X,3325017,X,X,X,-,138778,60583,1660,X,2990,23357,X,2964,1053
"전국","남자","15세미만","2016",3481573,40,X,3263047,X,X,X,-,126197,60185,1568,X,2746,20446,X,2883,4460
"전국","남자","15세미만","2017",3405509,34,X,3197254,X,X,X,-,116750,60241,1539,X,2598,19583,X,3589,3921
"전국","남자","15세미만","2018",3326313,43,X,3130936,X,X,X,-,105844,58332,1361,X,2490,18586,X,3473,5248
"전국","남자","15세미만","2019",3236713,44,X,3052257,X,X,X,-,96758,57088,1265,X,2458,17941,X,3513,5389
"전국","남자","15세미만","2020",3164157,51,X,3001883,X,X,X,134083,-,-,1017,X,2504,16233,X,3160,5226
"전국","남자","15세미만","2021",3076190,58,X,2929000,X,11,X,120321,-,-,954,X,2533,15269,X,3036,5003
"전국","남자","15세미만","2022",2956777,80,X,2815834,X,X,X,114446,-,-,904,X,2332,15025,X,3243,4913
"전국","남자","15세미만","2023",2835487,69,X,2697085,X,X,X,112309,-,-,899,X,2150,14692,5,3281,4997
"전국","남자","15세미만","2024",2729407,99,X,2596387,X,X,X,107624,-,-,918,X,1961,13629,7,3187,5595
"전국","남자","15~19세","2015",1455931,30384,104,1339813,22,X,X,-,44555,11978,90,X,14744,10569,X,1238,2434
"전국","남자","15~19세","2016",1389440,32626,86,1277442,22,X,X,-,40731,11608,73,X,12898,9853,X,1154,2946
"전국","남자","15~19세","2017",1316430,31090,77,1209903,12,X,X,-,37715,11689,78,X,12265,9110,X,1165,3326
"전국","남자","15~19세","2018",1231502,29415,77,1133964,6,X,X,-,32879,11189,65,X,11295,8186,X,1104,3322
"전국","남자","15~19세","2019",1152399,30258,53,1059473,12,X,X,-,28962,11042,71,X,10826,7455,X,996,3251
"전국","남자","15~19세","2020",1123049,37326,36,1028821,13,X,X,35461,-,-,59,X,10549,6640,X,949,3195
"전국","남자","15~19세","2021",1067714,26583,29,989630,X,X,X,32047,-,-,57,X,9562,5979,X,844,2979
"전국","남자","15~19세","2022",1032405,26609,24,957242,6,X,X,30478,-,-,56,X,8331,5728,X,831,3098
"전국","남자","15~19세","2023",1035272,24131,27,963963,X,X,X,30570,-,-,54,X,7028,5603,X,828,3061
"전국","남자","15~19세","2024",1042357,23330,21,972293,6,X,X,30785,-,-,61,X,6428,5484,X,781,3164
"전국","남자","20~24세","2015",1282312,223026,2870,959368,522,X,X,-,25832,6162,19,X,34825,12258,X,1851,15578
"전국","남자","20~24세","2016",1307200,229508,1704,978805,468,X,X,-,26901,6801,15,X,33840,12812,5,1907,14434
"전국","남자","20~24세","2017",1284186,224393,1603,959907,403,X,X,-,26282,7185,24,X,33674,12683,X,2102,15926
"전국","남자","20~24세","2018",1274923,223259,1471,952784,345,X,X,-,26120,7720,13,X,33328,12418,X,2024,15441
"전국","남자","20~24세","2019",1266355,234344,1418,934534,250,X,X,-,26283,8035,16,X,31863,12076,X,2037,15498
"전국","남자","20~24세","2020",1314905,256918,1362,960679,207,X,X,33872,-,-,25,X,32443,11704,X,1980,15714
"전국","남자","20~24세","2021",1284310,256501,1225,933281,159,X,X,31856,-,-,23,X,31633,11107,X,1957,16565
"전국","남자","20~24세","2022",1155623,252573,1069,818002,143,X,X,27780,-,-,18,X,27368,9840,6,1692,17132
"전국","남자","20~24세","2023",1097570,253710,1021,765630,133,X,X,26232,-,-,15,X,23617,8972,X,1514,16721
"전국","남자","20~24세","2024",1029629,243546,913,714426,93,X,X,24054,-,-,16,X,20768,8022,X,1337,16451
"전국","남자","25~29세","2015",1522505,494185,18397,897812,2319,X,X,-,17346,3997,X,X,47245,14876,X,2802,23522
"전국","남자","25~29세","2016",1553308,495438,15427,926831,2181,X,X,-,17888,4706,X,X,45696,15806,X,2861,26467
"전국","남자","25~29세","2017",1607192,517431,16185,948189,2049,X,X,-,18306,5030,X,X,47332,16905,X,3324,32433
"전국","남자","25~29세","2018",1666722,546089,17275,969874,1793,X,X,-,18642,5653,5,X,49896,18163,10,3516,35805
"전국","남자","25~29세","2019",1713307,578782,18384,976439,1586,X,X,-,18708,6077,X,X,51380,18703,9,3852,39382
"전국","남자","25~29세","2020",1764662,622736,20076,976969,1307,X,X,24588,-,-,X,X,53562,19128,X,4149,42140
"전국","남자","25~29세","2021",1778098,669194,20314,939060,1114,X,X,24266,-,-,X,X,54435,20269,10,4487,44944
"전국","남자","25~29세","2022",1740315,664454,18498,909805,990,X,X,24242,-,-,X,X,52617,19535,17,4122,46031
"전국","남자","25~29세","2023",1696812,648495,16865,890497,909,X,X,24228,-,-,7,X,48568,18076,18,3747,45402
"전국","남자","25~29세","2024",1635491,625862,15985,858987,763,X,X,24295,-,-,7,X,44303,16767,10,3329,45182
"전국","남자","30~34세","2015",1805771,1043271,77736,581670,8461,X,X,-,7198,1937,X,X,51018,10463,44,2953,21018
"전국","남자","30~34세","2016",1721682,987956,73307,562081,8158,9,X,-,7378,2020,X,X,43819,10747,31,2697,23478
"전국","남자","30~34세","2017",1635481,929183,72799,537405,7067,X,X,-,7190,2085,X,X,39772,11068,23,2704,26182
"전국","남자","30~34세","2018",1571238,882027,72574,521240,5937,X,X,-,6900,2248,X,X,37124,11748,15,2780,28643
"전국","남자","30~34세","2019",1549970,868246,72370,513251,4922,X,X,-,6938,2360,X,X,35992,12026,13,2934,30915
"전국","남자","30~34세","2020",1567009,891402,77018,498660,4082,X,X,8712,-,-,X,X,36015,12715,11,3211,35178
"전국","남자","30~34세","2021",1597987,925091,81190,481595,3583,X,X,8845,-,-,X,X,37412,14452,12,3537,42265
"전국","남자","30~34세","2022",1656507,955215,81505,499482,3484,X,X,9487,-,-,X,X,39353,15481,23,3671,48801
"전국","남자","30~34세","2023",1713691,971758,80362,533708,3647,X,X,10069,-,-,X,X,40650,15857,19,3589,54027
"전국","남자","30~34세","2024",1754821,980098,82390,556944,3354,X,X,10722,-,-,X,X,41680,16007,19,3512,60091
"전국","남자","35~39세","2015",1904082,1353063,109508,351824,11974,20,X,-,1986,512,X,X,50936,4852,184,2158,17064
"전국","남자","35~39세","2016",1945667,1368341,120760,365749,12767,23,X,-,2233,617,X,X,48587,5201,137,2094,19157
"전국","남자","35~39세","2017",1977320,1381333,134142,369383,12539,20,X,-,2356,714,X,X,46866,5822,119,2202,21822
"전국","남자","35~39세","2018",1984850,1381888,145397,364970,11735,25,X,-,2370,763,X,X,44648,6361,118,2212,24363
"전국","남자","35~39세","2019",1924470,1338965,147397,349018,10470,25,X,-,2467,832,X,X,40372,6721,106,2343,25753
"전국","남자","35~39세","2020",1833161,1279648,150485,319811,8121,11,X,3104,-,-,X,X,35040,6929,87,2320,27605
"전국","남자","35~39세","2021",1744971,1217872,154330,291023,6690,12,X,3122,-,-,X,X,31835,7255,68,2421,30342
"전국","남자","35~39세","2022",1649081,1141960,146819,279557,6023,9,X,3140,-,-,X,X,29440,7634,56,2427,32015
"전국","남자","35~39세","2023",1587411,1086083,137749,281435,6045,10,X,3177,-,-,X,X,28026,8091,47,2356,34391
"전국","남자","35~39세","2024",1567979,1061211,134969,286781,5557,5,X,3253,-,-,X,X,27580,8351,48,2433,37791
"전국","남자","40~44세","2015",2119525,1650152,113364,260720,10685,323,9,-,446,143,X,X,59388,2432,829,2133,18901
"전국","남자","40~44세","2016",2031332,1557333,123222,259010,11436,245,29,-,531,149,X,X,54712,2587,663,1992,19422
"전국","남자","40~44세","2017",1970559,1496213,132910,252556,11174,242,49,-,520,138,X,X,51138,2783,589,1959,20288
"전국","남자","40~44세","2018",1905601,1432269,141398,246497,10592,263,X,-,563,182,X,X,47302,3043,556,1941,20992
"전국","남자","40~44세","2019",1869529,1395155,148823,243071,10110,231,5,-,584,185,X,X,43771,3215,472,2028,21879
"전국","남자","40~44세","2020",1896599,1412781,165533,239279,8452,196,9,836,-,-,X,X,40328,3484,402,1931,23368
"전국","남자","40~44세","2021",1940421,1439369,185729,234405,8013,206,6,900,-,-,X,X,39379,4016,376,2062,25960
"전국","남자","40~44세","2022",1971862,1456180,195357,237602,8255,174,X,973,-,-,X,X,38362,4652,314,2204,27785
"전국","남자","40~44세","2023",1982266,1459520,196299,242333,8517,164,9,1091,-,-,X,X,37394,5090,286,2245,29316
"전국","남자","40~44세","2024",1921886,1408892,190814,239490,8250,145,X,1148,-,-,X,X,34893,5332,224,2249,30444
"전국","남자","45~49세","2015",2126980,1766904,111256,159954,6833,3474,129,-,87,35,X,X,53618,1219,1722,2023,19726
"전국","남자","45~49세","2016",2175889,1778525,126020,177849,8016,2933,193,-,91,35,X,X,55254,1352,1676,1947,21998
"전국","남자","45~49세","2017",2204470,1779276,137875,188823,8641,2822,230,-,96,35,X,X,57009,1575,1701,1996,24391
"전국","남자","45~49세","2018",2187202,1743258,147335,196099,8718,2745,91,-,114,45,X,X,57414,1772,1635,2022,25954
"전국","남자","45~49세","2019",2162206,1706991,154298,200919,8737,2554,85,-,125,53,X,X,55615,1954,1525,2058,27292
"전국","남자","45~49세","2020",2105204,1655783,163091,193605,7270,2479,57,173,-,-,X,X,50653,1892,1511,1899,26791
"전국","남자","45~49세","2021",2018169,1576059,172535,181778,6863,2267,48,187,-,-,X,X,46267,2041,1397,1890,26837
"전국","남자","45~49세","2022",1959171,1518802,176367,179333,6927,2001,60,204,-,-,X,X,43718,2229,1212,1990,26328
"전국","남자","45~49세","2023",1898861,1463101,174791,178657,6945,1590,71,235,-,-,X,X,41788,2540,1027,2038,26078
"전국","남자","45~49세","2024",1864000,1425123,177770,180335,7145,1327,15,255,-,-,X,X,39813,2898,854,2058,26407
"전국","남자","50~54세","2015",2069459,1778712,117565,84808,3670,15758,1026,-,18,9,X,X,43382,538,2448,2074,19451
"전국","남자","50~54세","2016",2024438,1722951,119910,91527,4050,13220,931,-,22,12,X,X,44863,612,2377,1993,21970
"전국","남자","50~54세","2017",1999771,1688543,125550,94483,4247,12463,894,-,22,9,X,X,45002,649,2310,1943,23656
"전국","남자","50~54세","2018",2024653,1694143,133183,101935,4568,12995,587,-,19,7,X,X,46396,755,2420,1845,25800
"전국","남자","50~54세","2019",2078150,1724605,142451,111987,5001,13144,545,-,21,X,X,X,47527,858,2335,1924,27748
"전국","남자","50~54세","2020",2106684,1736711,152954,118258,4676,13073,438,29,-,-,X,X,47050,918,2294,1793,28490
"전국","남자","50~54세","2021",2160514,1764400,169991,124150,4872,13221,358,34,-,-,X,X,47827,1057,2506,1871,30227
"전국","남자","50~54세","2022",2188927,1773471,178471,132494,5401,12123,311,32,-,-,X,X,49479,1266,2510,2017,31352
"전국","남자","50~54세","2023",2176341,1752420,178754,139961,5816,10833,330,35,-,-,X,X,50932,1529,2367,2105,31258
"전국","남자","50~54세","2024",2153521,1721606,181054,146825,6046,9401,173,47,-,-,X,X,50724,1738,2209,2179,31519
"전국","남자","55~59세","2015",1902004,1656378,113178,41891,1927,33632,4532,-,X,X,X,X,30095,332,2365,2002,15664
"전국","남자","55~59세","2016",2005872,1740294,121081,48301,2281,32560,4240,-,6,X,X,X,33056,365,2497,1983,19205
"전국","남자","55~59세","2017",2054329,1769622,132311,50923,2333,32284,3945,-,X,X,X,X,35541,384,2661,2116,22199
"전국","남자","55~59세","2018",2079143,1777885,141314,53869,2525,33672,3325,-,X,X,X,X,36698,409,2804,2020,24614
"전국","남자","55~59세","2019",2059480,1749744,145759,56336,2632,33000,2718,-,5,5,X,X,37590,471,2737,1987,26493
"전국","남자","55~59세","2020",2025737,1712986,150392,56831,2490,32358,2197,5,-,-,X,X,36612,440,2607,1914,26902
"전국","남자","55~59세","2021",1986284,1663917,157484,57846,2550,32488,1710,X,-,-,X,X,36968,470,2830,1903,28113
"전국","남자","55~59세","2022",1969066,1640513,160478,61657,2753,30797,1467,X,-,-,X,X,37833,547,2851,1885,28280
"전국","남자","55~59세","2023",2000125,1660978,162472,68154,3137,29253,1296,5,-,-,X,X,40379,674,2872,1971,28934
"전국","남자","55~59세","2024",2060019,1704103,168684,75913,3622,27338,1001,6,-,-,X,X,43112,818,2868,2050,30504
"전국","남자","60~64세","2015",1336256,1167729,78249,13164,799,41712,8809,-,X,X,X,11,13818,128,1373,1348,9115
"전국","남자","60~64세","2016",1461092,1271361,88008,16111,978,43702,9150,-,X,X,X,7,16721,172,1600,1425,11855
"전국","남자","60~64세","2017",1543892,1334083,100502,18066,1119,44998,8881,-,X,X,X,8,18639,201,1743,1645,14004
"전국","남자","60~64세","2018",1658753,1422740,115089,20655,1275,48085,8349,-,X,X,X,7,21424,218,2039,1800,17069
"전국","남자","60~64세","2019",1754466,1497902,127844,23023,1303,49393,7659,-,X,X,X,10,23307,243,2299,1887,19595
"전국","남자","60~64세","2020",1845468,1569180,142522,24539,1266,51120,6481,X,-,-,X,13,24178,241,2342,1840,21744
"전국","남자","60~64세","2021",1955827,1647479,162243,26475,1391,56935,5974,X,-,-,X,11,26311,281,2604,1946,24174
"전국","남자","60~64세","2022",1998098,1675682,170981,28855,1561,57116,5189,X,-,-,X,9,27907,328,2740,2049,25680
"전국","남자","60~64세","2023",2036225,1703907,174836,31581,1820,55551,4616,X,-,-,X,10,30946,387,3033,2098,27440
"전국","남자","60~64세","2024",2019248,1687377,175211,33251,1903,51638,3905,X,-,-,X,12,32580,428,2978,2081,27884
"전국","남자","65~69세","2015",1007247,864915,58984,4550,395,47408,11876,-,X,X,X,64,7560,84,972,1118,9321
"전국","남자","65~69세","2016",1037162,889052,61532,5016,413,47747,11596,-,X,X,X,58,8519,73,1051,1136,10969
"전국","남자","65~69세","2017",1087309,927858,69637,5398,456,48041,11325,-,X,X,X,59,9526,78,1129,1238,12564
"전국","남자","65~69세","2018",1110664,943072,75523,5692,484,48535,10651,-,X,X,X,60,10242,92,1240,1247,13826
"전국","남자","65~69세","2019",1166572,985538,84115,6506,526,48241,10035,-,X,X,X,60,11560,102,1420,1368,17101
"전국","남자","65~69세","2020",1274792,1074468,98178,7131,614,50098,9040,X,-,-,X,57,12929,106,1622,1425,19124
"전국","남자","65~69세","2021",1394224,1164448,115076,8117,697,56013,8859,X,-,-,X,74,14753,119,1922,1601,22545
"전국","남자","65~69세","2022",1477597,1227952,126873,9650,730,57735,8329,X,-,-,X,61,16823,152,2152,1676,25464
"전국","남자","65~69세","2023",1589756,1318915,137493,11081,872,60150,8267,X,-,-,X,53,19910,175,2496,1924,28420
"전국","남자","65~69세","2024",1690238,1401270,148679,12521,996,60951,7697,X,-,-,X,43,22372,222,2739,1988,30760
"전국","남자","70~74세","2015",781670,669219,37132,898,137,51104,12136,-,X,X,X,299,3224,33,518,775,6195
"전국","남자","70~74세","2016",778807,667509,38202,919,138,48569,11564,-,X,X,X,279,3694,38,544,747,6604
"전국","남자","70~74세","2017",788759,674145,42679,1120,155,46703,10943,-,X,X,X,283,4180,40,577,793,7141
"전국","남자","70~74세","2018",829230,706728,48821,1296,183,46951,10681,-,X,X,X,231,4692,55,654,856,8082
"전국","남자","70~74세","2019",878584,747260,55011,1497,183,47125,10527,-,X,X,X,233,5223,52,769,934,9770
"전국","남자","70~74세","2020",923593,785502,61784,1579,194,46897,9625,X,-,-,X,227,5490,48,863,898,10486
"전국","남자","70~74세","2021",952588,805846,68688,1592,213,47718,9041,X,-,-,X,260,5816,60,975,960,11419
"전국","남자","70~74세","2022",1003649,846342,76522,1845,263,48303,8650,X,-,-,X,273,6767,66,1069,1054,12495
"전국","남자","70~74세","2023",1030442,867614,80108,2010,298,47997,8328,X,-,-,X,210,7788,79,1218,1125,13667
"전국","남자","70~74세","2024",1085255,912804,87715,2288,320,47479,7931,X,-,-,X,165,8796,91,1335,1230,15101
"전국","남자","75~79세","2015",542202,455351,21522,191,37,47974,10218,-,X,X,X,1048,1258,10,274,496,3823
"전국","남자","75~79세","2016",574244,483656,23575,118,33,48887,10488,-,X,X,X,951,1486,13,304,516,4217
"전국","남자","75~79세","2017",629439,531639,27904,105,38,50392,10841,-,X,X,X,1039,1765,11,347,611,4747
"전국","남자","75~79세","2018",651181,550666,31229,132,45,49615,10596,-,X,X,X,1005,1902,9,331,604,5047
"전국","남자","75~79세","2019",659165,557983,33960,158,52,47218,9945,-,X,X,X,923,2067,21,378,627,5833
"전국","남자","75~79세","2020",663226,562953,36841,170,56,44622,8832,X,-,-,X,953,1994,19,375,559,5852
"전국","남자","75~79세","2021",666356,564311,40265,210,60,42838,8346,X,-,-,X,950,2142,16,421,574,6223
"전국","남자","75~79세","2022",682931,577917,44360,262,56,41413,7792,X,-,-,X,743,2542,23,512,613,6698
"전국","남자","75~79세","2023",722744,612361,48395,284,70,41424,7665,X,-,-,X,618,3231,32,614,683,7367
"전국","남자","75~79세","2024",769203,652081,53838,327,74,41694,7440,X,-,-,X,556,3726,35,691,744,7997
"전국","남자","80~84세","2015",267987,216868,8646,39,5,32077,6439,-,X,X,X,1437,330,X,109,188,1848
"전국","남자","80~84세","2016",297651,242239,9746,6,X,34487,7006,-,X,X,X,1508,365,X,116,194,1978
"전국","남자","80~84세","2017",322923,264291,11376,X,X,35453,7087,-,X,X,X,1648,434,X,139,247,2239
"전국","남자","80~84세","2018",349291,286795,13489,6,7,36600,7168,-,X,X,X,1784,536,X,163,263,2478
"전국","남자","80~84세","2019",379422,313403,15603,10,8,37182,7312,-,X,X,X,1779,673,6,169,333,2944
"전국","남자","80~84세","2020",396905,329531,17784,9,7,36819,6814,X,-,-,X,1811,689,X,152,305,2981
"전국","남자","80~84세","2021",425499,354183,20838,12,9,37011,6774,X,-,-,X,1972,811,X,161,337,3390
"전국","남자","80~84세","2022",473602,396059,24622,10,13,38359,7138,X,-,-,X,1908,985,X,212,377,3916
"전국","남자","80~84세","2023",493234,414141,26630,19,11,37888,6944,X,-,-,X,1680,1114,X,239,397,4169
"전국","남자","80~84세","2024",501672,423290,28411,20,16,35963,6487,X,-,-,X,1436,1207,6,271,398,4167
"전국","남자","85세이상","2015",124469,90395,3173,X,X,23259,4519,-,X,X,X,1750,141,X,44,108,1077
"전국","남자","85세이상","2016",133353,98235,3421,X,X,24116,4574,-,X,X,X,1682,119,X,49,93,1063
"전국","남자","85세이상","2017",145764,109428,3902,X,X,24523,4798,-,X,X,X,1725,118,X,69,123,1077
"전국","남자","85세이상","2018",159453,121479,4544,X,X,25046,4915,-,X,X,X,1928,120,X,64,111,1244
"전국","남자","85세이상","2019",178713,137740,5358,X,X,26470,5232,-,X,X,X,2048,154,X,64,124,1519
"전국","남자","85세이상","2020",196983,153286,6308,X,X,27732,5395,X,-,-,X,2325,170,X,70,145,1549
"전국","남자","85세이상","2021",220857,173327,7556,X,X,29305,5613,X,-,-,X,2764,212,X,67,164,1848
"전국","남자","85세이상","2022",242830,192399,8828,X,X,30501,5691,X,-,-,X,2930,251,X,86,183,1960
"전국","남자","85세이상","2023",264679,211719,10032,X,X,31432,5917,X,-,-,X,2760,312,X,96,211,2195
"전국","남자","85세이상","2024",290171,234586,11551,X,X,32226,6056,X,-,-,X,2678,371,X,109,221,2367
"전국","남자","15~64세","2015",17524825,11163804,742227,4691024,47212,94921,14506,-,97473,24774,112,14,399069,57667,8967,20582,162473
"전국","남자","15~64세","2016",17615920,11184333,789525,4703706,50357,92693,14544,-,95782,25950,94,9,389446,59507,8989,20053,180932
"전국","남자","15~64세","2017",17593630,11151167,853954,4629638,49584,92831,14001,-,92494,26889,107,10,387238,61180,9154,21156,204227
"전국","남자","15~64세","2018",17584587,11132973,915113,4561887,47494,97788,12355,-,87612,27810,83,10,385525,63073,9597,21264,222003
"전국","남자","15~64세","2019",17530332,11124992,958797,4468051,45023,98350,11013,-,84093,28594,92,13,378243,63722,9497,22046,237806
"전국","남자","15~64세","2020",17582478,11175471,1023469,4417452,37884,99238,9184,106782,-,-,89,16,366430,64091,9259,21986,251127
"전국","남자","15~64세","2021",17534295,11186465,1105070,4259243,35238,105131,8098,101264,-,-,87,13,361629,66927,9806,22918,272406
"전국","남자","15~64세","2022",17321055,11105459,1129569,4104029,35543,102224,7031,96341,-,-,81,10,354408,67240,9730,22888,286502
"전국","남자","15~64세","2023",17224574,11024103,1123176,4095919,36973,97402,6323,95642,-,-,82,12,349328,66819,9676,22491,296628
"전국","남자","15~64세","2024",17048951,10881148,1127811,4065245,36739,89856,5098,94565,-,-,87,13,341881,65845,9217,22009,309437
"전국","남자","65세이상","2015",2723575,2296748,129457,5680,575,201822,45188,-,X,X,X,4598,12513,128,1917,2685,22264
"전국","남자","65세이상","2016",2821217,2380691,136476,6059,589,203806,45228,-,X,X,X,4478,14183,126,2064,2686,24831
"전국","남자","65세이상","2017",2974194,2507361,155498,6627,653,205112,44994,-,X,X,X,4754,16023,131,2261,3012,27768
"전국","남자","65세이상","2018",3099819,2608740,173606,7127,720,206747,44011,-,X,X,X,5008,17492,158,2452,3081,30677
"전국","남자","65세이상","2019",3262456,2741924,194047,8171,773,206236,43051,-,X,X,X,5043,19677,181,2800,3386,37167
"전국","남자","65세이상","2020",3455499,2905740,220895,8889,874,206168,39706,X,-,-,X,5373,21272,176,3082,3332,39992
"전국","남자","65세이상","2021",3659524,3062115,252423,9931,980,212885,38633,X,-,-,X,6020,23734,196,3546,3636,45425
"전국","남자","65세이상","2022",3880609,3240669,281205,11767,1063,216311,37600,X,-,-,X,5915,27368,244,4031,3903,50533
"전국","남자","65세이상","2023",4100855,3424750,302658,13394,1254,218891,37121,X,-,-,X,5321,32355,290,4663,4340,55818
